Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
Marki	wołomiński	mazowieckie	26,15	29722	1137
Maszewo	goleniowski	zachodniopomorskie	5,54	3374	609
MiasteczkoŚląskie	tarnogórski	śląskie	67,83	7383	109
Miastko	bytowski	pomorskie	5,68	10866	1913
Michałowo	białostocki	podlaskie	2,15	3153	1467
Miechów	miechowski	małopolskie	15,49	11830	764
MiejskaGórka	rawicki	wielkopolskie	3,14	3253	1035
Mielec	mielecki	podkarpackie	46,89	60827	1297
Mielno	koszaliński	zachodniopomorskie	?	?	?
Mieroszów	wałbrzyski	dolnośląskie	10,31	4248	412
Mieszkowice	gryfiński	zachodniopomorskie	4,73	3594	760
Międzybórz	oleśnicki	dolnośląskie	6,41	2346	366
Międzychód	międzychodzki	wielkopolskie	6,98	10723	1536
Międzylesie	kłodzki	dolnośląskie	14,37	2709	189
MiędzyrzecPodlaski	bialski	lubelskie	20,03	17102	854
Międzyrzecz	międzyrzecki	lubuskie	10,26	18459	1799
Międzyzdroje	kamieński	zachodniopomorskie	4,50	5475	1217
Mikołajki	mrągowski	warmińsko-mazurskie	9,32	3849	413
Mikołów	mikołowski	śląskie	79,21	39795	502
Mikstat	ostrzeszowski	wielkopolskie	2,52	1884	748
Milanówek	grodziski	mazowieckie	13,44	16353	1217
Milicz	milicki	dolnośląskie	13,50	11669	864
Miłakowo	ostródzki	warmińsko-mazurskie	8,76	2632	300
Miłomłyn	ostródzki	warmińsko-mazurskie	12,38	2444	197
Miłosław	wrzesiński	wielkopolskie	4,07	3589	882
MińskMazowiecki	miński	mazowieckie	13,18	40211	3051
Mirosławiec	wałecki	zachodniopomorskie	2,17	3040	1401
Mirsk	lwówecki	dolnośląskie	14,66	4025	275
Mława	mławski	mazowieckie	34,80	30968	890
Młynary	elbląski	warmińsko-mazurskie	2,76	1817	658
Modliborzyce	janowski	lubelskie	7,89	1430	181
Mogielnica	grójecki	mazowieckie	12,98	2352	181
Mogilno	mogileński	kujawsko-pomorskie	8,32	12240	1471
Mońki	moniecki	podlaskie	7,66	10275	1341
Morawica	kielecki	świętokrzyskie	?	?	?
Morąg	ostródzki	warmińsko-mazurskie	6,11	14269	2335
Mordy	siedlecki	mazowieckie	4,54	1797	396
Moryń	gryfiński	zachodniopomorskie	5,54	1608	290
Mosina	poznański	wielkopolskie	13,50	13220	979
Mrągowo	mrągowski	warmińsko-mazurskie	14,81	22135	1495
Mrocza	nakielski	kujawsko-pomorskie	5,01	4377	874
Mrozy	miński	mazowieckie	7,73	3528	456
MszanaDolna	limanowski	małopolskie	27,10	7890	291
Mszczonów	żyrardowski	mazowieckie	8,56	6445	753
MurowanaGoślina	poznański	wielkopolskie	8,62	10508	1219
Muszyna	nowosądecki	małopolskie	24,43	5028	206
Mysłowice	Mysłowice[a]	śląskie	65,62	75037	1144
Myszków	myszkowski	śląskie	73,59	32499	442
Myszyniec	ostrołęcki	mazowieckie	11,22	3294	294
Myślenice	myślenicki	małopolskie	30,22	18346	607
